							
2. НАСЕЛЕНИЕ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ							
							
							
	Мужчины и женщины	Мужчины	Женщины	В процентах к итогу			Женщин на 1000 мужчин
35 – 39	15957.0	8412.0	7545.0	6.2	7.0	5.5	897.0
40 – 44	20576.0	11126.0	9450.0	8.0	9.2	6.9	849.0
45 – 49	19314.0	10457.0	8857.0	7.5	8.7	6.4	847.0
50 – 54	17751.0	9290.0	8461.0	6.9	7.7	6.2	911.0
55 – 59	9838.0	4741.0	5097.0	3.8	3.9	3.7	1075.0
60 – 64	18477.0	8108.0	10369.0	7.2	6.7	7.5	1279.0
65 – 69	19409.0	7873.0	11536.0	7.5	6.5	8.4	1465.0
70 – 74	21981.0	7533.0	14448.0	8.5	6.2	10.5	1918.0
75 – 79	14253.0	3224.0	11029.0	5.5	2.7	8.0	3421.0
80 – 84	5988.0	1084.0	4904.0	2.3	0.9	3.6	4524.0
85 и более	3637.0	394.0	3243.0	1.4	0.3	2.4	8231.0
возраст не указан	86.0	39.0	47.0	0.0	0.0	0.0	1205.0
Медианный возраст	45.4	41.6	50.2				
Из общей численности - население в возрасте:							
моложе трудоспособного	39381.0	20325.0	19056.0	15.3	16.8	13.9	938.0
трудоспособном	129847.0	72116.0	57731.0	50.3	59.8	42.0	801.0
старше трудоспособного	88842.0	28216.0	60626.0	34.4	23.4	44.1	2149.0
0 – 13 лет	31397.0	16225.0	15172.0	12.2	13.4	11.0	935.0
0 – 17 лет	45980.0	23897.0	22083.0	17.8	19.8	16.1	924.0
16 – 29 лет	38508.0	21323.0	17185.0	14.9	17.7	12.5	806.0
г. Санкт-Петербург							
Городское население	4661219.0	2094836.0	2566383.0	100.0	100.0	100.0	1225.0
в том числе в возрасте, лет:							
0 – 4	148139.0	76547.0	71592.0	3.2	3.7	2.8	935.0
5 – 9	158881.0	81691.0	77190.0	3.4	3.9	3.0	945.0
10 – 14	261599.0	134878.0	126721.0	5.6	6.4	4.9	940.0
15 – 19	392305.0	205124.0	187181.0	8.4	9.8	7.3	913.0
20 – 24	376995.0	193232.0	183763.0	8.1	9.2	7.2	951.0
25 – 29	332023.0	164239.0	167784.0	7.1	7.8	6.5	1022.0
30 – 34	323702.0	158042.0	165660.0	6.9	7.5	6.5	1048.0
35 – 39	326776.0	154484.0	172292.0	7.0	7.4	6.7	1115.0
40 – 44	398970.0	181776.0	217194.0	8.6	8.7	8.5	1195.0
45 – 49	377923.0	165518.0	212405.0	8.1	7.9	8.3	1283.0
50 – 54	350383.0	150819.0	199564.0	7.5	7.2	7.8	1323.0
55 – 59	236412.0	101566.0	134846.0	5.1	4.8	5.19999980927	1328.0
60 – 64	259567.0	104473.0	155094.0	5.6	5.0	6.0	1485.0
65 – 69	226515.0	83851.0	142664.0	4.9	4.0	5.6	1701.0
70 – 74	206250.0	69217.0	137033.0	4.4	3.3	5.3	1980.0
75 – 79	146224.0	37267.0	108957.0	3.1	1.8	4.2	2924.0
80 – 84	73031.0	14932.0	58099.0	1.6	0.7	2.3	3891.0
85 и более	49778.0	9631.0	40147.0	1.1	0.5	1.6	4169.0
возраст не указан	15746.0	7549.0	8197.0	0.3	0.4	0.3	1086.0
Медианный возраст	40.1	36.2	43.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	637094.0	328677.0	308417.0	13.7	15.7	12.0	938.0
трудоспособном	2912168.0	1439239.0	1472929.0	62.5	68.7	57.4	1023.0
старше трудоспособного	1096211.0	319371.0	776840.0	23.5	15.2	30.3	2432.0
0 – 13 лет	503443.0	259246.0	244197.0	10.8	12.4	9.5	942.0
0 – 17 лет	786961.0	406230.0	380731.0	16.9	19.4	14.8	937.0
16 – 29 лет	1032848.0	527034.0	505814.0	22.2	25.2	19.7	960.0
Южный федеральный округ							
Все население	22907141.0	10742563.0	12164578.0	100.0	100.0	100.0	1132.0
в том числе в возрасте, лет:							
0 – 4	1221810.0	623528.0	598282.0	5.3	5.8	4.9	960.0
5 – 9	1359027.0	689480.0	669547.0	5.9	6.4	5.5	971.0
10 – 14	1840555.0	934528.0	906027.0	8.0	8.7	7.4	970.0
15 – 19	2187359.0	1109647.0	1077712.0	9.60000038147	10.3	8.9	971.0
20 – 24	1893594.0	945650.0	947944.0	8.3	8.8	7.8	1002.0
25 – 29	1643984.0	809675.0	834309.0	7.2	7.5	6.9	1030.0
30 – 34	1545359.0	758169.0	787190.0	6.7	7.1	6.5	1038.0
35 – 39	1594970.0	770438.0	824532.0	7.0	7.2	6.8	1070.0
40 – 44	1843570.0	887123.0	956447.0	8.10000038147	8.3	7.9	1078.0
45 – 49	1612019.0	763237.0	848782.0	7.0	7.1	7.0	1112.0
50 – 54	1379055.0	637252.0	741803.0	6.0	5.9	6.1	1164.0
55 – 59	736454.0	322134.0	414320.0	3.2	3.0	3.4	1286.0
60 – 64	1257468.0	515186.0	742282.0	5.5	4.8	6.1	1441.0
65 – 69	969225.0	392334.0	576891.0	4.2	3.7	4.7	1470.0
70 – 74	857854.0	322997.0	534857.0	3.7	3.0	4.4	1656.0
75 – 79	563144.0	167761.0	395383.0	2.5	1.6	3.2	2357.0
80 – 84	219033.0	54419.0	164614.0	1.0	0.5	1.4	3025.0
85 и более	172725.0	34343.0	138382.0	0.8	0.3	1.1	4029.0
возраст не указан	9936.0	4662.0	5274.0	0.0	0.0	0.0	1131.0
Медианный возраст	34.2	31.6	36.7				
Из общей численности - население в возрасте:							
моложе трудоспособного	4844382.0	2461615.0	2382767.0	21.2	22.9	19.6	968.0
трудоспособном	13599054.0	6789246.0	6809808.0	59.4	63.2	56.0	1003.0
старше трудоспособного	4453769.0	1487040.0	2966729.0	19.4	13.9	24.4	1995.0
0 – 13 лет	4015368.0	2042108.0	1973260.0	17.5	19.0	16.2	966.0
0 – 17 лет	5700916.0	2891809.0	2809107.0	24.9	26.9	23.1	971.0
16 – 29 лет	5301947.0	2650893.0	2651054.0	23.1	24.7	21.8	1000.0
Городское население	13166327.0	6090097.0	7076230.0	100.0	100.0	100.0	1162.0
в том числе в возрасте, лет:							
0 – 4	604940.0	309315.0	295625.0	4.6	5.1	4.2	956.0
5 – 9	670323.0	340315.0	330008.0	5.1	5.6	4.7	970.0
10 – 14	946711.0	479935.0	466776.0	7.2	7.9	6.6	973.0
15 – 19	1309563.0	663805.0	645758.0	9.9	10.9	9.1	973.0
20 – 24	1151815.0	571848.0	579967.0	8.7	9.4	8.2	1014.0
25 – 29	971995.0	474212.0	497783.0	7.4	7.8	7.0	1050.0
30 – 34	898135.0	436052.0	462083.0	6.8	7.2	6.5	1060.0
35 – 39	901547.0	425654.0	475893.0	6.8	7.0	6.7	1118.0
40 – 44	1069856.0	500456.0	569400.0	8.1	8.2	8.0	1138.0
45 – 49	967383.0	444195.0	523188.0	7.3	7.3	7.4	1178.0
50 – 54	864393.0	390450.0	473943.0	6.6	6.4	6.7	1214.0
55 – 59	467722.0	202645.0	265077.0	3.6	3.3	3.7	1308.0
60 – 64	731459.0	296628.0	434831.0	5.6	4.9	6.1	1466.0
65 – 69	550623.0	218099.0	332524.0	4.2	3.6	4.7	1525.0
70 – 74	485967.0	177467.0	308500.0	3.7	2.9	4.4	1738.0
75 – 79	337985.0	100628.0	237357.0	2.6	1.60000002384	3.4	2359.0
80 – 84	131188.0	33865.0	97323.0	1.0	0.5	1.4	2874.0
85 и более	96466.0	20620.0	75846.0	0.7	0.3	1.1	3678.0
возраст не указан	8256.0	3908.0	4348.0	0.1	0.1	0.1	1113.0
Медианный возраст	35.2	32.2	37.9				
Из общей численности - население в возрасте:							
моложе трудоспособного	2451043.0	1244919.0	1206124.0	18.6	20.4	17.0	969.0
трудоспособном	8108263.0	3993963.0	4114300.0	61.6	65.6	58.1	1030.0
старше трудоспособного	2598765.0	847307.0	1751458.0	19.7	13.9	24.8	2067.0
0 – 13 лет	2008888.0	1021994.0	986894.0	15.3	16.8	13.9	966.0
0 – 17 лет	2948756.0	1491720.0	1457036.0	22.4	24.5	20.6	977.0
16 – 29 лет	3204304.0	1594511.0	1609793.0	24.3	26.2	22.7	1010.0
Сельское население	9740814.0	4652466.0	5088348.0	100.0	100.0	100.0	1094.0
в том числе в возрасте, лет:							
0 – 4	616870.0	314213.0	302657.0	6.3	6.8	6.0	963.0
5 – 9	688704.0	349165.0	339539.0	7.1	7.5	6.7	972.0
10 – 14	893844.0	454593.0	439251.0	9.2	9.8	8.6	966.0
15 – 19	877796.0	445842.0	431954.0	9.0	9.6	8.5	969.0
20 – 24	741779.0	373802.0	367977.0	7.6	8.0	7.2	984.0
25 – 29	671989.0	335463.0	336526.0	6.9	7.2	6.6	1003.0
30 – 34	647224.0	322117.0	325107.0	6.69999980927	6.9	6.4	1009.0
35 – 39	693423.0	344784.0	348639.0	7.1	7.4	6.9	1011.0
40 – 44	773714.0	386667.0	387047.0	7.9	8.3	7.6	1001.0
45 – 49	644636.0	319042.0	325594.0	6.6	6.9	6.4	1021.0
50 – 54	514662.0	246802.0	267860.0	5.3	5.3	5.3	1085.0
55 – 59	268732.0	119489.0	149243.0	2.8	2.6	2.9	1249.0
60 – 64	526009.0	218558.0	307451.0	5.4	4.7	6.0	1407.0
65 – 69	418602.0	174235.0	244367.0	4.3	3.79999995232	4.8	1403.0
70 – 74	371887.0	145530.0	226357.0	3.8	3.1	4.5	1555.0
75 – 79	225159.0	67133.0	158026.0	2.3	1.4	3.1	2354.0
80 – 84	87845.0	20554.0	67291.0	0.9	0.4	1.3	3274.0
85 и более	76259.0	13723.0	62536.0	0.8	0.3	1.2	4557.0
возраст не указан	1680.0	754.0	926.0	0.0	0.0	0.0	1228.0
Медианный возраст	32.9	30.8	35.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	2393339.0	1216696.0	1176643.0	24.6	26.2	23.1	967.0
трудоспособном	5490791.0	2795283.0	2695508.0	56.4	60.1	53.0	964.0
старше трудоспособного	1855004.0	639733.0	1215271.0	19.0	13.7	23.9	1900.0
0 – 13 лет	2006480.0	1020114.0	986366.0	20.6	21.9	19.4	967.0
0 – 17 лет	2752160.0	1400089.0	1352071.0	28.3	30.1	26.6	966.0
16 – 29 лет	2097643.0	1056382.0	1041261.0	21.5	22.7	20.5	986.0
Республика Адыгея							
Все население	447109.0	208019.0	239090.0	100.0	100.0	100.0	1149.0
в том числе в возрасте, лет:							
0 – 4	21568.0	11114.0	10454.0	4.8	5.3	4.4	941.0
5 – 9	24130.0	12448.0	11682.0	5.4	6.0	4.9	938.0
10 – 14	33008.0	16853.0	16155.0	7.4	8.1	6.8	959.0
15 – 19	40138.0	20053.0	20085.0	9.0	9.6	8.4	1002.0
20 – 24	34497.0	17230.0	17267.0	7.7	8.3	7.2	1002.0
25 – 29	30179.0	14960.0	15219.0	6.8	7.2	6.4	1017.0
30 – 34	28761.0	14090.0	14671.0	6.4	6.8	6.1	1041.0
35 – 39	29873.0	14552.0	15321.0	6.7	7.0	6.4	1053.0
40 – 44	36382.0	17618.0	18764.0	8.1	8.5	7.8	1065.0
45 – 49	31991.0	15128.0	16863.0	7.09999990463	7.3	7.0	1115.0
50 – 54	28903.0	13342.0	15561.0	6.5	6.4	6.5	1166.0
55 – 59	15719.0	6901.0	8818.0	3.5	3.3	3.7	1278.0
60 – 64	28501.0	11594.0	16907.0	6.4	5.6	7.1	1458.0
65 – 69	21735.0	8821.0	12914.0	4.9	4.2	5.4	1464.0
70 – 74	19499.0	7377.0	12122.0	4.4	3.5	5.1	1643.0
75 – 79	12839.0	3792.0	9047.0	2.9	1.8	3.8	2386.0
80 – 84	5103.0	1294.0	3809.0	1.1	0.6	1.6	2944.0
85 и более	4085.0	753.0	3332.0	0.9	0.4	1.4	4425.0
возраст не указан	198.0	99.0	99.0	0.0	0.1	0.0	1000.0
Медианный возраст	37.0	34.0	39.6				
Из общей численности - население в возрасте:							
моложе трудоспособного	86789.0	44432.0	42357.0	19.4	21.3	17.7	953.0
трудоспособном	259542.0	129857.0	129685.0	58.1	62.4	54.3	999.0
старше трудоспособного	100580.0	33631.0	66949.0	22.5	16.2	28.0	1991.0
0 – 13 лет	71220.0	36617.0	34603.0	15.9	17.6	14.5	945.0
0 – 17 лет	102936.0	52576.0	50360.0	23.0	25.3	21.1	958.0
16 – 29 лет	96731.0	48226.0	48505.0	21.6	23.2	20.3	1006.0
Городское население	234900.0	107069.0	127831.0	100.0	100.0	100.0	1194.0
в том числе в возрасте, лет:							
0 – 4	10273.0	5300.0	4973.0	4.4	5.0	3.9	938.0
5 – 9	11346.0	5879.0	5467.0	4.8	5.5	4.3	930.0
10 – 14	15938.0	8052.0	7886.0	6.8	7.5	6.09999990463	979.0
15 – 19	23251.0	11479.0	11772.0	9.9	10.7	9.2	1026.0
20 – 24	19799.0	9599.0	10200.0	8.4	9.0	8.0	1063.0
25 – 29	16662.0	8077.0	8585.0	7.1	7.5	6.7	1063.0
30 – 34	15432.0	7279.0	8153.0	6.6	6.8	6.4	1120.0
35 – 39	15610.0	7321.0	8289.0	6.69999980927	6.8	6.5	1132.0
40 – 44	19071.0	8883.0	10188.0	8.1	8.3	8.0	1147.0
45 – 49	17378.0	7827.0	9551.0	7.4	7.3	7.5	1220.0
50 – 54	16185.0	7270.0	8915.0	6.9	6.8	7.0	1226.0
55 – 59	8655.0	3758.0	4897.0	3.7	3.5	3.8	1303.0
60 – 64	14154.0	5680.0	8474.0	6.0	5.3	6.6	1492.0
65 – 69	10439.0	4112.0	6327.0	4.4	3.8	5.0	1539.0
70 – 74	9267.0	3433.0	5834.0	3.9	3.2	4.5	1699.0
75 – 79	6575.0	1926.0	4649.0	2.8	1.8	3.6	2414.0
80 – 84	2740.0	713.0	2027.0	1.2	0.7	1.6	2843.0
85 и более	1942.0	389.0	1553.0	0.8	0.4	1.2	3992.0
возраст не указан	183.0	92.0	91.0	0.1	0.1	0.1	989.0
Медианный возраст	36.6	33.4	39.2				
Из общей численности - население в возрасте:							
моложе трудоспособного	41609.0	21232.0	20377.0	17.7	19.8	15.9	960.0
трудоспособном	143094.0	69492.0	73602.0	60.9	64.9	57.6	1059.0
старше трудоспособного	50014.0	16253.0	33761.0	21.3	15.2	26.4	2077.0
0 – 13 лет	33894.0	17444.0	16450.0	14.4	16.3	12.9	943.0
0 – 17 лет	50738.0	25668.0	25070.0	21.6	24.0	19.6	977.0
16 – 29 лет	55660.0	27154.0	28506.0	23.7	25.4	22.3	1050.0
Сельское население	212209.0	100950.0	111259.0	100.0	100.0	100.0	1102.0
в том числе в возрасте, лет:							
0 – 4	11295.0	5814.0	5481.0	5.3	5.8	4.9	943.0
5 – 9	12784.0	6569.0	6215.0	6.0	6.5	5.6	946.0
10 – 14	17070.0	8801.0	8269.0	8.0	8.7	7.4	940.0
15 – 19	16887.0	8574.0	8313.0	8.0	8.5	7.5	970.0
20 – 24	14698.0	7631.0	7067.0	6.9	7.6	6.30000019073	926.0
25 – 29	13517.0	6883.0	6634.0	6.4	6.8	6.0	964.0
30 – 34	13329.0	6811.0	6518.0	6.3	6.7	5.9	957.0
35 – 39	14263.0	7231.0	7032.0	6.7	7.2	6.3	972.0
40 – 44	17311.0	8735.0	8576.0	8.2	8.60000038147	7.7	982.0
45 – 49	14613.0	7301.0	7312.0	6.9	7.2	6.6	1002.0
50 – 54	12718.0	6072.0	6646.0	6.0	6.0	6.0	1095.0
55 – 59	7064.0	3143.0	3921.0	3.3	3.1	3.5	1248.0
60 – 64	14347.0	5914.0	8433.0	6.8	5.9	7.6	1426.0
65 – 69	11296.0	4709.0	6587.0	5.3	4.7	5.9	1399.0
70 – 74	10232.0	3944.0	6288.0	4.8	3.9	5.59999990463	1594.0
75 – 79	6264.0	1866.0	4398.0	3.0	1.8	4.0	2357.0
80 – 84	2363.0	581.0	1782.0	1.1	0.6	1.6	3067.0
85 и более	2143.0	364.0	1779.0	1.0	0.4	1.6	4887.0
возраст не указан	15.0	7.0	8.0	0.0	0.0	0.0	1143.0
Медианный возраст	37.4	34.5	40.1				
Из общей численности - население в возрасте:							
моложе трудоспособного	45180.0	23200.0	21980.0	21.3	23.0	19.8	947.0
трудоспособном	116448.0	60365.0	56083.0	54.9	59.8	50.4	929.0
старше трудоспособного	50566.0	17378.0	33188.0	23.8	17.2	29.8	1910.0
0 – 13 лет	37326.0	19173.0	18153.0	17.6	19.0	16.3	947.0
0 – 17 лет	52198.0	26908.0	25290.0	24.6	26.7	22.7	940.0
16 – 29 лет	41071.0	21072.0	19999.0	19.4	20.9	18.0	949.0
Республика Дагестан							
Все население	2576531.0	1242437.0	1334094.0	100.0	100.0	100.0	1074.0
в том числе в возрасте, лет:							
0 – 4	213081.0	108363.0	104718.0	8.3	8.7	7.8	966.0
5 – 9	238537.0	121097.0	117440.0	9.3	9.7	8.8	970.0
10 – 14	282796.0	142686.0	140110.0	11.0	11.5	10.5	982.0
15 – 19	301466.0	151250.0	150216.0	11.7	12.2	11.3	993.0
20 – 24	245168.0	118843.0	126325.0	9.5	9.6	9.5	1063.0
25 – 29	200905.0	96888.0	104017.0	7.8	7.8	7.8	1074.0
30 – 34	194969.0	94153.0	100816.0	7.6	7.6	7.5	1071.0
35 – 39	190493.0	90844.0	99649.0	7.4	7.3	7.5	1097.0
40 – 44	184431.0	88683.0	95748.0	7.2	7.1	7.2	1080.0
45 – 49	127560.0	60720.0	66840.0	4.90000009537	4.9	5.0	1101.0
50 – 54	93594.0	43901.0	49693.0	3.6	3.5	3.7	1132.0
55 – 59	45815.0	20599.0	25216.0	1.8	1.7	1.9	1224.0
60 – 64	72856.0	31798.0	41058.0	2.8	2.6	3.1	1291.0
65 – 69	72570.0	31084.0	41486.0	2.8	2.5	3.1	1335.0
70 – 74	59459.0	25117.0	34342.0	2.3	2.0	2.6	1367.0
75 – 79	28541.0	10649.0	17892.0	1.1	0.800000011921	1.3	1680.0
80 – 84	13725.0	3597.0	10128.0	0.5	0.3	0.8	2816.0
85 и более	10490.0	2138.0	8352.0	0.4	0.2	0.6	3906.0
возраст не указан	75.0	27.0	48.0	0.0	0.0	0.0	1778.0
Медианный возраст	25.2	24.0	26.3				
Из общей численности - население в возрасте:							
моложе трудоспособного	792339.0	401364.0	390975.0	30.7	32.3	29.3	974.0
трудоспособном	1501260.0	736663.0	764597.0	58.3	59.3	57.3	1038.0
старше трудоспособного	282857.0	104383.0	178474.0	11.0	8.4	13.4	1710.0
0 – 13 лет	676660.0	343147.0	333513.0	26.3	27.6	25.0	972.0
0 – 17 лет	912887.0	462066.0	450821.0	35.4	37.2	33.8	976.0
16 – 29 лет	689614.0	337763.0	351851.0	26.8	27.2	26.4	1042.0
Городское население	1102577.0	529889.0	572688.0	100.0	100.0	100.0	1081.0
в том числе в возрасте, лет:							
0 – 4	79569.0	40347.0	39222.0	7.2	7.6	6.8	972.0
5 – 9	87074.0	43792.0	43282.0	7.9	8.3	7.6	988.0
10 – 14	109258.0	54721.0	54537.0	9.9	10.3	9.5	997.0
15 – 19	151657.0	76982.0	74675.0	13.8	14.5	13.0	970.0
20 – 24	121425.0	59134.0	62291.0	11.0	11.2	10.9	1053.0
25 – 29	87079.0	41246.0	45833.0	7.9	7.8	8.0	1111.0
30 – 34	82024.0	38982.0	43042.0	7.4	7.30000019073	7.5	1104.0
35 – 39	79057.0	36460.0	42597.0	7.2	6.9	7.4	1168.0
40 – 44	81437.0	38649.0	42788.0	7.4	7.3	7.5	1107.0
45 – 49	60039.0	28230.0	31809.0	5.4	5.3	5.6	1127.0
50 – 54	46363.0	21831.0	24532.0	4.2	4.1	4.3	1124.0
55 – 59	22702.0	10277.0	12425.0	2.1	1.9	2.2	1209.0
60 – 64	31520.0	14085.0	17435.0	2.9	2.7	3.0	1238.0
65 – 69	25435.0	11073.0	14362.0	2.3	2.1	2.5	1297.0
70 – 74	19925.0	8312.0	11613.0	1.8	1.6	2.0	1397.0
75 – 79	10266.0	3611.0	6655.0	0.9	0.7	1.2	1843.0
80 – 84	4692.0	1369.0	3323.0	0.4	0.3	0.6	2427.0
85 и более	3024.0	777.0	2247.0	0.3	0.1	0.4	2892.0
возраст не указан	31.0	11.0	20.0	0.0	0.0	0.0	1818.0
Медианный возраст	25.1	23.9	26.3				
Из общей численности - население в возрасте:							
моложе трудоспособного	299788.0	150948.0	148840.0	27.2	28.5	26.0	986.0
трудоспособном	695471.0	339703.0	355768.0	63.1	64.1	62.1	1047.0
старше трудоспособного	107287.0	39227.0	68060.0	9.7	7.4	11.9	1735.0
0 – 13 лет	253218.0	127504.0	125714.0	23.0	24.1	22.0	986.0
0 – 17 лет	357914.0	180327.0	177587.0	32.5	34.0	31.0	985.0
16 – 29 лет	336274.0	165274.0	171000.0	30.5	31.2	29.9	1035.0
Сельское население	1473954.0	712548.0	761406.0	100.0	100.0	100.0	1069.0
в том числе в возрасте, лет:							
0 – 4	133512.0	68016.0	65496.0	9.0	9.60000038147	8.6	963.0
5 – 9	151463.0	77305.0	74158.0	10.3	10.8	9.7	959.0
10 – 14	173538.0	87965.0	85573.0	11.8	12.3	11.2	973.0
15 – 19	149809.0	74268.0	75541.0	10.2	10.4	9.9	1017.0
20 – 24	123743.0	59709.0	64034.0	8.4	8.4	8.4	1072.0
25 – 29	113826.0	55642.0	58184.0	7.7	7.8	7.6	1046.0
30 – 34	112945.0	55171.0	57774.0	7.7	7.80000019073	7.6	1047.0
35 – 39	111436.0	54384.0	57052.0	7.5	7.6	7.5	1049.0
40 – 44	102994.0	50034.0	52960.0	7.0	7.0	7.0	1058.0
45 – 49	67521.0	32490.0	35031.0	4.6	4.6	4.6	1078.0
50 – 54	47231.0	22070.0	25161.0	3.2	3.1	3.3	1140.0
55 – 59	23113.0	10322.0	12791.0	1.6	1.4	1.7	1239.0
60 – 64	41336.0	17713.0	23623.0	2.8	2.5	3.1	1334.0
65 – 69	47135.0	20011.0	27124.0	3.2	2.8	3.6	1355.0
70 – 74	39534.0	16805.0	22729.0	2.7	2.4	3.0	1353.0
75 – 79	18275.0	7038.0	11237.0	1.2	1.0	1.5	1597.0
80 – 84	9033.0	2228.0	6805.0	0.6	0.3	0.9	3054.0
85 и более	7466.0	1361.0	6105.0	0.5	0.2	0.8	4486.0
возраст не указан	44.0	16.0	28.0	0.0	0.0	0.0	1750.0
Медианный возраст	25.2	24.1	26.3				
Из общей численности - население в возрасте:							
моложе трудоспособного	492551.0	250416.0	242135.0	33.4	35.1	31.8	967.0
трудоспособном	805789.0	396960.0	408829.0	54.7	55.7	53.7	1030.0
старше трудоспособного	175570.0	65156.0	110414.0	11.9	9.2	14.5	1695.0
0 – 13 лет	423442.0	215643.0	207799.0	28.7	30.3	27.3	964.0
0 – 17 лет	554973.0	281739.0	273234.0	37.7	39.5	35.9	970.0
16 – 29 лет	353340.0	172489.0	180851.0	24.0	24.2	23.8	1048.0
Республика Ингушетия							
Все население	467294.0	218194.0	249100.0	100.0	100.0	100.0	1142.0
в том числе в возрасте, лет:							
0 – 4	50321.0	24484.0	25837.0	10.8	11.2	10.4	1055.0
5 – 9	53816.0	25904.0	27912.0	11.5	11.9	11.2	1078.0
10 – 14	56451.0	27305.0	29146.0	12.1	12.5	11.7	1067.0
15 – 19	52095.0	25039.0	27056.0	11.1	11.5	10.9	1081.0
20 – 24	45463.0	20990.0	24473.0	9.7	9.6	9.8	1166.0
25 – 29	37075.0	17062.0	20013.0	7.9	7.8	8.0	1173.0
30 – 34	34979.0	15832.0	19147.0	7.5	7.3	7.7	1209.0
35 – 39	31555.0	14093.0	17462.0	6.69999980927	6.5	7.0	1239.0
40 – 44	30622.0	14215.0	16407.0	6.6	6.5	6.6	1154.0
45 – 49	21857.0	10227.0	11630.0	4.7	4.7	4.7	1137.0
50 – 54	14322.0	6727.0	7595.0	3.1	3.1	3.0	1129.0
55 – 59	7392.0	3283.0	4109.0	1.6	1.5	1.6	1252.0
60 – 64	10241.0	4171.0	6070.0	2.2	1.9	2.4	1455.0
65 – 69	8661.0	3698.0	4963.0	1.9	1.7	2.0	1342.0
70 – 74	6255.0	2840.0	3415.0	1.3	1.3	1.4	1202.0
75 – 79	2743.0	1112.0	1631.0	0.6	0.5	0.7	1467.0
80 – 84	1630.0	555.0	1075.0	0.3	0.20000000298	0.4	1937.0
85 и более	1506.0	500.0	1006.0	0.3	0.2	0.4	2012.0
возраст не указан	310.0	157.0	153.0	0.1	0.1	0.1	975.0
Медианный возраст	22.2	21.4	22.9				
Из общей численности - население в возрасте:							
моложе трудоспособного	171316.0	82865.0	88451.0	36.7	38.0	35.5	1067.0
трудоспособном	260523.0	122296.0	138227.0	55.7	56.0	55.5	1130.0
старше трудоспособного	35145.0	12876.0	22269.0	7.5	5.9	8.9	1729.0
0 – 13 лет	149718.0	72485.0	77233.0	32.0	33.2	31.0	1066.0
0 – 17 лет	192192.0	92827.0	99365.0	41.1	42.5	39.9	1070.0
16 – 29 лет	123905.0	57919.0	65986.0	26.5	26.5	26.5	1139.0
Городское население	198496.0	93915.0	104581.0	100.0	100.0	100.0	1114.0
в том числе в возрасте, лет:							
0 – 4	20642.0	10263.0	10379.0	10.4	10.9	9.9	1011.0
5 – 9	22227.0	10891.0	11336.0	11.2	11.6	10.8	1041.0
10 – 14	23657.0	11556.0	12101.0	11.9	12.3	11.6	1047.0
15 – 19	22612.0	11214.0	11398.0	11.4	11.9	10.9	1016.0
20 – 24	19620.0	9279.0	10341.0	9.9	9.9	9.9	1114.0
25 – 29	15929.0	7352.0	8577.0	8.0	7.8	8.2	1167.0
30 – 34	14907.0	6829.0	8078.0	7.5	7.3	7.7	1183.0
