			
6. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ДВА ИСТОЧНИКА СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ			
			
			
	Городское и сельское население	Городское население	Сельское население
на иждивении отдельных лиц	442.0	390.0	52.0
иной источник	1124.0	889.0	235.0
личное подсобное хозяйство и			
стипендию	9.0	2.0	7.0
пенсию (кроме пенсии по инвалидности)	6039.0	2809.0	3230.0
пенсию по инвалидности	637.0	194.0	443.0
пособие (кроме пособия по безработице)	37.0	11.0	26.0
пособие по безработице	238.0	97.0	141.0
другой вид государственного обеспечения	9.0	4.0	5.0
сбережения	61.0	22.0	39.0
доход от сдачи внаем или в аренду имущества	13.0	2.0	11.0
на иждивении отдельных лиц	1252.0	345.0	907.0
иной источник	674.0	152.0	522.0
стипендию и			
пенсию	114.0	84.0	30.0
пособие (кроме пособия по безработице)	58.0	37.0	21.0
сбережения	5.0	5.0	-
доход от сдачи внаем или в аренду имущества	3.0	3.0	-
на иждивении отдельных лиц	6644.0	5354.0	1290.0
иной источник	33.0	31.0	2.0
пенсию и			
пособие	270.0	145.0	125.0
сбережения	82.0	74.0	8.0
доход от сдачи внаем или в аренду имущества	35.0	28.0	7.0
на иждивении отдельных лиц	1430.0	928.0	502.0
иной источник	250.0	194.0	56.0
пособие и			
сбережения	11.0	11.0	-
доход от сдачи внаем или в аренду имущества	18.0	9.0	9.0
на иждивении отдельных лиц	34642.0	19737.0	14905.0
иной источник	98.0	67.0	31.0
другие сочетания источников средств к существованию	4064.0	3150.0	914.0
Женщины, указавшие два источника средств к существованию	97493.0	61643.0	35850.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	11096.0	4369.0	6727.0
стипендию	344.0	331.0	13.0
пенсию (кроме пенсии по инвалидности)	16365.0	15039.0	1326.0
пенсию по инвалидности	691.0	606.0	85.0
пособие (кроме пособия по безработице)	1491.0	1185.0	306.0
пособие по безработице	25.0	22.0	3.0
другой вид государственного обеспечения	407.0	211.0	196.0
сбережения	114.0	106.0	8.0
доход от сдачи внаем или в аренду имущества	78.0	68.0	10.0
на иждивении отдельных лиц	591.0	534.0	57.0
иной источник	594.0	486.0	108.0
личное подсобное хозяйство и			
стипендию	8.0	4.0	4.0
пенсию (кроме пенсии по инвалидности)	11259.0	5106.0	6153.0
пенсию по инвалидности	485.0	184.0	301.0
пособие (кроме пособия по безработице)	267.0	38.0	229.0
пособие по безработице	500.0	127.0	373.0
другой вид государственного обеспечения	39.0	11.0	28.0
сбережения	55.0	19.0	36.0
доход от сдачи внаем или в аренду имущества	15.0	2.0	13.0
на иждивении отдельных лиц	2652.0	755.0	1897.0
иной источник	381.0	85.0	296.0
стипендию и			
пенсию	123.0	99.0	24.0
пособие (кроме пособия по безработице)	65.0	49.0	16.0
сбережения	3.0	3.0	-
доход от сдачи внаем или в аренду имущества	4.0	4.0	-
на иждивении отдельных лиц	7074.0	5807.0	1267.0
иной источник	21.0	21.0	-
пенсию и			
пособие	400.0	237.0	163.0
сбережения	134.0	127.0	7.0
доход от сдачи внаем или в аренду имущества	86.0	70.0	16.0
на иждивении отдельных лиц	1834.0	1323.0	511.0
иной источник	218.0	169.0	49.0
пособие и			
сбережения	32.0	27.0	5.0
доход от сдачи внаем или в аренду имущества	20.0	12.0	8.0
на иждивении отдельных лиц	36341.0	21214.0	15127.0
иной источник	170.0	102.0	68.0
другие сочетания источников средств к существованию	3511.0	3091.0	420.0
Ленинградская область			
Все население, указавшее два источника средств к существованию	286581.0	171973.0	114608.0
в том числе указавшее источники:			
