3. НАСЕЛЕНИЕ ПО НАЦИОНАЛЬНОСТИ И ВЛАДЕНИЮ РУССКИМ ЯЗЫКОМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ		
		
		
	Численность лиц соответствующей национальности	из них владеют русским языком
Талыши 	25.0	24.0
Татары 	3283.0	3279.0
Кряшены 	1.0	1.0
Татары сибирские 	2.0	2.0
Татары крымские 	1.0	1.0
Таты 	8.0	8.0
Тофалары 	1.0	1.0
Тувинцы 	18.0	18.0
Турки 	21.0	21.0
Туркмены 	40.0	40.0
Удмурты 	807.0	807.0
Узбеки 	194.0	192.0
Уйгуры	4.0	4.0
Украинцы 	27841.0	27808.0
Ульчи 	1.0	1.0
Финны 	154.0	154.0
Французы	1.0	1.0
Хакасы 	9.0	9.0
Ханты 	15.0	14.0
Цахуры 	1.0	1.0
Цыгане 	1037.0	1029.0
Черкесы 	14.0	14.0
Чехи 	13.0	13.0
Чеченцы 	354.0	341.0
Чуванцы 	2.0	2.0
Чуваши 	1874.0	1873.0
Чукчи 	2.0	2.0
Шорцы 	4.0	4.0
Эвенки 	15.0	15.0
Эскимосы 	1.0	1.0
Эстонцы 	125.0	125.0
Якуты 	12.0	12.0
Лица других национальностей (не перечисленных выше)	192.0	178.0
Лица, не указавшие национальность в переписном листе 	2212.0	1099.0
Ненецкий автономный округ	41546.0	40690.0
Абазины 	1.0	1.0
Аварцы 	8.0	8.0
Агулы 	1.0	1.0
Адыгейцы 	1.0	1.0
Азербайджанцы 	69.0	66.0
Алтайцы 	1.0	1.0
Англичане	1.0	1.0
Армяне 	26.0	26.0
Башкиры 	33.0	33.0
Белорусы 	426.0	425.0
Болгары	4.0	4.0
Буряты 	6.0	6.0
Венгры 	1.0	1.0
Гагаузы	2.0	2.0
Греки 	2.0	2.0
Грузины 	2.0	2.0
Даргинцы 	6.0	6.0
Долганы 	1.0	1.0
Евреи 	10.0	10.0
Ингуши 	5.0	5.0
Казахи 	12.0	12.0
Калмыки 	8.0	8.0
Карачаевцы 	2.0	2.0
Карелы 	5.0	5.0
Кеты 	6.0	6.0
Киргизы 	2.0	2.0
Коми 	4510.0	4483.0
Коми-ижемцы 	1.0	1.0
Коми-пермяки	3.0	3.0
Корейцы 	15.0	15.0
Кумыки 	4.0	4.0
Лакцы 	1.0	1.0
Латыши 	8.0	8.0
Лезгины 	48.0	47.0
Литовцы 	12.0	12.0
Марийцы 	33.0	33.0
Лугово-восточные марийцы 	3.0	3.0
Молдаване 	39.0	38.0
Мордва 	30.0	30.0
Мордва-мокша 	1.0	1.0
Негидальцы 	1.0	1.0
Немцы 	25.0	25.0
Ненцы 	7754.0	7553.0
Нивхи	1.0	1.0
Ногайцы	2.0	2.0
Осетины 	3.0	3.0
Поляки 	27.0	27.0
Румыны 	3.0	3.0
Русские 	25942.0	25905.0
Поморы 	6.0	5.0
Табасараны 	3.0	3.0
Таджики 	17.0	17.0
Татары 	211.0	211.0
Тувинцы 	3.0	3.0
Туркмены 	2.0	2.0
Удмурты 	95.0	95.0
Узбеки 	10.0	10.0
Украинцы 	1312.0	1310.0
Финны 	3.0	3.0
Французы	1.0	1.0
Хакасы 	2.0	2.0
Ханты 	5.0	4.0
Черкесы 	2.0	2.0
Чеченцы 	3.0	3.0
Чуванцы 	1.0	1.0
Чуваши 	88.0	87.0
Эвенки 	13.0	13.0
Эстонцы 	6.0	6.0
Якуты 	3.0	3.0
Лица других национальностей (не перечисленных выше)	6.0	6.0
Лица, не указавшие национальность в переписном листе 	658.0	77.0
Вологодская область	1269568.0	1264491.0
Абазины 	6.0	6.0
Абхазы 	22.0	22.0
Аварцы 	158.0	157.0
Андийцы 	1.0	1.0
Багулалы 	1.0	1.0
Агулы 	57.0	56.0
Адыгейцы 	8.0	8.0
Азербайджанцы 	2665.0	2518.0
Алеуты 	1.0	1.0
Алтайцы 	7.0	7.0
Американцы	1.0	1.0
Англичане	3.0	2.0
Арабы 	8.0	8.0
Арабы среднеазиатские 	1.0	1.0
Армяне 	2150.0	2113.0
Ассирийцы 	50.0	49.0
Балкарцы 	7.0	7.0
Башкиры 	232.0	232.0
Белорусы 	4918.0	4913.0
Бесермяне 	1.0	1.0
Болгары	159.0	159.0
Буряты 	21.0	21.0
Венгры 	33.0	33.0
Вепсы 	426.0	426.0
Вьетнамцы 	250.0	215.0
Гагаузы	70.0	70.0
Греки 	110.0	110.0
Грузины 	987.0	965.0
Мегрелы 	1.0	1.0
Даргинцы 	362.0	354.0
Евреи 	441.0	440.0
Евреи горские 	16.0	16.0
Евреи среднеазиатские 	2.0	2.0
Езиды 	18.0	17.0
Ижорцы 	1.0	1.0
Ингуши 	78.0	78.0
Испанцы	1.0	1.0
Кабардинцы 	62.0	62.0
Казахи 	177.0	177.0
Калмыки 	14.0	14.0
Каракалпаки 	3.0	3.0
Карачаевцы 	36.0	36.0
Карелы 	212.0	212.0
Кереки 	1.0	1.0
Кеты 	5.0	5.0
Киргизы 	53.0	53.0
Китайцы 	6.0	6.0
Коми 	367.0	366.0
Коми-ижемцы 	1.0	1.0
Коми-пермяки	69.0	69.0
Корейцы 	122.0	122.0
Коряки 	3.0	3.0
Кубинцы	7.0	7.0
Кумыки 	58.0	58.0
Курды 	38.0	37.0
Лакцы 	19.0	18.0
Латыши 	106.0	106.0
Лезгины 	350.0	345.0
Литовцы 	304.0	304.0
Манси 	2.0	2.0
Марийцы 	268.0	268.0
Горные марийцы 	7.0	7.0
Лугово-восточные марийцы 	18.0	18.0
Молдаване 	1048.0	1037.0
Монголы 	2.0	2.0
Мордва 	432.0	432.0
Мордва-мокша 	17.0	17.0
Мордва-эрзя	4.0	4.0
Нагайбаки 	1.0	1.0
Нанайцы 	4.0	4.0
Немцы 	955.0	955.0
Ненцы 	15.0	15.0
Ногайцы	8.0	8.0
Осетины 	252.0	251.0
Персы 	3.0	3.0
Поляки 	356.0	356.0
Пуштуны	9.0	9.0
Румыны 	26.0	26.0
Русские 	1225957.0	1224645.0
Казаки 	27.0	27.0
Поморы 	4.0	4.0
Рутульцы 	25.0	24.0
Саамы 	9.0	9.0
Сербы	6.0	6.0
Словаки	3.0	3.0
Табасараны 	143.0	142.0
Таджики 	276.0	271.0
Талыши 	29.0	26.0
Татары 	1857.0	1850.0
Кряшены 	1.0	1.0
Татары крымские 	1.0	1.0
Теленгиты 	1.0	1.0
Тофалары 	1.0	1.0
Тувинцы 	5.0	5.0
Турки 	16.0	16.0
Туркмены 	35.0	35.0
Удмурты 	288.0	286.0
Узбеки 	413.0	409.0
Уйгуры	6.0	6.0
Украинцы 	12297.0	12284.0
Ульчи 	2.0	2.0
Финны 	300.0	299.0
Финны-ингерманландцы 	3.0	3.0
Французы	1.0	1.0
Хакасы 	11.0	11.0
Ханты 	7.0	7.0
Цахуры 	10.0	10.0
Цыгане 	2079.0	2052.0
Черкесы 	6.0	6.0
Чехи 	6.0	6.0
Чеченцы 	320.0	317.0
Чуванцы 	1.0	1.0
Чуваши 	911.0	911.0
Чукчи 	4.0	4.0
Шорцы 	4.0	4.0
Эвенки 	11.0	11.0
Эвены 	1.0	1.0
Энцы 	5.0	5.0
Эскимосы 	2.0	2.0
Эстонцы 	106.0	106.0
Якуты 	11.0	11.0
Японцы 	1.0	1.0
Лица других национальностей (не перечисленных выше)	70.0	67.0
Лица, не указавшие национальность в переписном листе 	5668.0	2253.0
Калининградская область	955281.0	945069.0
Абазины 	5.0	5.0
Абхазы 	20.0	20.0
Аварцы 	162.0	161.0
Агулы 	7.0	7.0
Адыгейцы 	26.0	26.0
Азербайджанцы 	2959.0	2872.0
Алеуты 	1.0	1.0
Алтайцы 	10.0	10.0
Американцы	3.0	3.0
Арабы 	29.0	28.0
Арабы среднеазиатские 	1.0	1.0
Армяне 	8415.0	8237.0
Ассирийцы 	15.0	15.0
Балкарцы 	18.0	18.0
Башкиры 	562.0	560.0
Белорусы 	50748.0	50663.0
Болгары	346.0	346.0
Буряты 	67.0	67.0
Венгры 	54.0	53.0
Вепсы 	18.0	18.0
Вьетнамцы 	3.0	3.0
Гагаузы	79.0	79.0
Греки 	247.0	245.0
Грузины 	681.0	677.0
Аджарцы 	2.0	2.0
Лазы 	2.0	2.0
Даргинцы 	127.0	126.0
Долганы 	2.0	2.0
Евреи 	1599.0	1596.0
Евреи горские 	6.0	6.0
Езиды 	504.0	460.0
Ижорцы 	3.0	3.0
Ингуши 	213.0	210.0
Индийцы хиндиязычные 	1.0	1.0
Испанцы	5.0	5.0
Итальянцы	4.0	4.0
Ительмены 	5.0	5.0
Кабардинцы 	142.0	142.0
Казахи 	631.0	627.0
Калмыки 	44.0	44.0
Камчадалы 	1.0	1.0
Караимы 	1.0	1.0
Каракалпаки 	4.0	4.0
Карачаевцы 	54.0	54.0
Карелы 	176.0	176.0
Кереки 	1.0	1.0
Кеты 	1.0	1.0
Киргизы 	109.0	109.0
Китайцы 	60.0	55.0
Коми 	137.0	137.0
Коми-пермяки	132.0	132.0
Корейцы 	651.0	644.0
Коряки 	4.0	4.0
Крымчаки 	2.0	2.0
Кубинцы	22.0	22.0
Кумыки 	107.0	105.0
Курды 	45.0	44.0
Лакцы 	100.0	100.0
Латыши 	709.0	709.0
Латгальцы 	5.0	5.0
Лезгины 	359.0	357.0
Литовцы 	13937.0	13864.0
Манси 	1.0	1.0
Марийцы 	448.0	446.0
Горные марийцы 	1.0	1.0
Лугово-восточные марийцы 	9.0	9.0
Молдаване 	1116.0	1108.0
Монголы 	1.0	1.0
Мордва 	2320.0	2317.0
Мордва-мокша 	50.0	50.0
Мордва-эрзя	2.0	2.0
Нагайбаки 	3.0	3.0
Немцы 	8340.0	8299.0
Ненцы 	6.0	6.0
Нивхи	1.0	1.0
Ногайцы	28.0	28.0
Осетины 	433.0	428.0
Персы 	21.0	21.0
Поляки 	3918.0	3912.0
Пуштуны	7.0	6.0
Румыны 	22.0	22.0
Русины 	1.0	1.0
Русские 	786885.0	783079.0
Казаки 	179.0	179.0
Рутульцы 	12.0	12.0
Саамы 	2.0	2.0
Селькупы 	1.0	1.0
Сербы	16.0	16.0
Словаки	5.0	5.0
Табасараны 	63.0	61.0
Таджики 	309.0	304.0
Талыши 	36.0	35.0
Татары 	4729.0	4712.0
Кряшены 	2.0	2.0
Татары крымские 	31.0	30.0
Таты 	15.0	15.0
Телеуты 	1.0	1.0
Тувинцы 	20.0	20.0
Турки 	49.0	48.0
Турки-месхетинцы	5.0	5.0
Туркмены 	84.0	84.0
Удмурты 	382.0	382.0
Удэгейцы 	4.0	4.0
Узбеки 	631.0	624.0
Уйгуры	35.0	35.0
Украинцы 	47229.0	47125.0
Ульта (ороки)	1.0	1.0
Ульчи 	1.0	1.0
Финны 	84.0	84.0
Финны-ингерманландцы 	1.0	1.0
Французы	7.0	7.0
Хакасы 	12.0	12.0
Ханты 	2.0	2.0
Цахуры 	6.0	6.0
Цыгане 	1447.0	1408.0
Черкесы 	18.0	18.0
Чехи 	28.0	28.0
Чеченцы 	738.0	724.0
Чуваши 	2027.0	2022.0
Чукчи 	1.0	1.0
Шорцы 	2.0	2.0
Эвенки 	5.0	5.0
Эвены 	1.0	1.0
Энцы 	3.0	3.0
Эстонцы 	282.0	282.0
Якуты 	23.0	23.0
Японцы 	2.0	2.0
Лица других национальностей (не перечисленных выше)	148.0	147.0
Лица, не указавшие национальность в переписном листе 	8859.0	3222.0
Ленинградская область	1669205.0	1636671.0
Абазины 	19.0	19.0
Абхазы 	110.0	109.0
Аварцы 	567.0	564.0
Андийцы 	1.0	1.0
Арчинцы 	2.0	2.0
Багулалы 	1.0	1.0
Каратинцы 	1.0	1.0
Чамалалы 	1.0	1.0
Агулы 	36.0	36.0
Адыгейцы 	45.0	45.0
Азербайджанцы 	3855.0	3707.0
Алеуты 	1.0	1.0
Алтайцы 	11.0	11.0
Американцы	17.0	7.0
Англичане	4.0	4.0
Арабы 	36.0	36.0
Арабы среднеазиатские 	9.0	9.0
Армяне 	5518.0	5449.0
Ассирийцы 	70.0	70.0
Балкарцы 	25.0	25.0
Башкиры 	1102.0	1100.0
Белорусы 	26290.0	26230.0
Бесермяне 	2.0	2.0
Болгары	323.0	322.0
Буряты 	124.0	124.0
Венгры 	47.0	43.0
Вепсы 	2019.0	2016.0
Водь 	12.0	12.0
Вьетнамцы 	49.0	46.0
Гагаузы	187.0	187.0
Греки 	349.0	349.0
Греки-урумы 	1.0	1.0
Грузины 	1568.0	1554.0
Аджарцы 	7.0	7.0
Ингилойцы 	1.0	-
Лазы 	1.0	1.0
Мегрелы 	1.0	1.0
Даргинцы 	432.0	428.0
Долганы 	2.0	2.0
Дунгане 	3.0	3.0
Евреи 	1734.0	1730.0
Евреи горские 	16.0	16.0
Евреи грузинские 	1.0	1.0
Евреи среднеазиатские 	1.0	1.0
Езиды 	82.0	75.0
Ижорцы 	177.0	175.0
Ингуши 	192.0	191.0
Индийцы хиндиязычные 	1.0	1.0
Испанцы	5.0	4.0
Итальянцы	10.0	10.0
Ительмены 	8.0	8.0
Кабардинцы 	187.0	187.0
Казахи 	779.0	777.0
Калмыки 	84.0	82.0
Камчадалы 	2.0	2.0
Караимы 	5.0	5.0
Каракалпаки 	24.0	24.0
Карачаевцы 	67.0	66.0
Карелы 	2057.0	2052.0
Кеты 	9.0	9.0
Юги 	3.0	3.0
Киргизы 	133.0	133.0
Китайцы 	17.0	17.0
Коми 	669.0	669.0
Коми-пермяки	206.0	206.0
Корейцы 	1030.0	1028.0
Коряки 	14.0	14.0
Крымчаки 	3.0	3.0
Кубинцы	10.0	10.0
Кумандинцы 	2.0	2.0
Кумыки 	188.0	182.0
Курды 	15.0	14.0
Лакцы 	91.0	91.0
Латыши 	586.0	586.0
Латгальцы 	6.0	6.0
Лезгины 	737.0	725.0
Литовцы 	749.0	747.0
Манси 	19.0	19.0
Марийцы 	981.0	978.0
Горные марийцы 	16.0	16.0
Лугово-восточные марийцы 	13.0	13.0
Молдаване 	1977.0	1969.0
Монголы 	6.0	6.0
Мордва 	2139.0	2134.0
Мордва-мокша 	83.0	83.0
Мордва-эрзя	23.0	23.0
Нагайбаки 	4.0	4.0
Нанайцы 	13.0	13.0
Нганасаны 	1.0	1.0
Негидальцы 	5.0	5.0
Немцы 	2372.0	2368.0
Ненцы 	26.0	26.0
Нивхи	6.0	6.0
Ногайцы	40.0	40.0
Орочи 	1.0	1.0
Осетины 	466.0	465.0
Осетины-дигорцы 	1.0	1.0
Персы 	39.0	37.0
Поляки 	1641.0	1640.0
Пуштуны	60.0	54.0
Румыны 	42.0	41.0
Русины 	4.0	4.0
Русские 	1495295.0	1491632.0
Казаки 	95.0	95.0
Поморы 	1.0	1.0
Рутульцы 	49.0	48.0
Саамы 	15.0	15.0
Селькупы 	5.0	5.0
Сербы	21.0	19.0
Словаки	7.0	7.0
Табасараны 	116.0	116.0
Таджики 	814.0	790.0
Талыши 	18.0	14.0
Татары 	9432.0	9400.0
Кряшены 	7.0	7.0
Татары сибирские 	11.0	11.0
Татары крымские 	13.0	13.0
Таты 	5.0	5.0
Теленгиты 	5.0	5.0
Тофалары 	4.0	2.0
Тувинцы 	24.0	24.0
Турки 	35.0	35.0
Турки-месхетинцы	1.0	1.0
Туркмены 	188.0	188.0
Удмурты 	959.0	958.0
Узбеки 	1001.0	992.0
Уйгуры	22.0	22.0
Украинцы 	41842.0	41748.0
Ульта (ороки)	2.0	2.0
Ульчи 	9.0	9.0
Финны 	7930.0	7905.0
Финны-ингерманландцы 	35.0	35.0
Французы	5.0	5.0
Хакасы 	38.0	37.0
Ханты 	17.0	17.0
Цахуры 	18.0	18.0
Цыгане 	4573.0	4500.0
Цыгане среднеазиатские 	1.0	1.0
Челканцы 	3.0	3.0
Черкесы 	34.0	34.0
Чехи 	30.0	30.0
Чеченцы 	542.0	530.0
Чуванцы 	14.0	14.0
Чуваши 	2817.0	2814.0
Чукчи 	9.0	9.0
Шорцы 	9.0	9.0
Эвенки 	21.0	21.0
Эвены 	5.0	5.0
Энцы 	1.0	1.0
Эскимосы 	15.0	15.0
Эстонцы 	1409.0	1407.0
Эстонцы-сету 	2.0	2.0
Юкагиры 	1.0	1.0
Якуты 	68.0	66.0
Японцы 	4.0	4.0
Лица других национальностей (не перечисленных выше)	166.0	157.0
Лица, не указавшие национальность в переписном листе 	39028.0	10854.0
Мурманская область	892534.0	886195.0
Абазины 	18.0	18.0
Абхазы 	35.0	35.0
Аварцы 	402.0	397.0
Агулы 	20.0	20.0
Адыгейцы 	44.0	44.0
Азербайджанцы 	4614.0	4290.0
Алтайцы 	21.0	21.0
Американцы	9.0	9.0
Англичане	2.0	2.0
Арабы 	9.0	9.0
Армяне 	1954.0	1922.0
Ассирийцы 	23.0	23.0
Балкарцы 	21.0	21.0
Башкиры 	1162.0	1157.0
Белорусы 	20335.0	20316.0
Бесермяне 	1.0	1.0
Болгары	453.0	453.0
Буряты 	44.0	44.0
Венгры 	35.0	35.0
Вепсы 	128.0	128.0
Вьетнамцы 	9.0	9.0
Гагаузы	118.0	117.0
Греки 	215.0	213.0
Грузины 	588.0	583.0
Даргинцы 	327.0	317.0
Дунгане 	4.0	4.0
Евреи 	675.0	675.0
Евреи горские 	6.0	6.0
Евреи среднеазиатские 	1.0	1.0
Езиды 	42.0	40.0
Ижорцы 	7.0	7.0
Ингуши 	105.0	105.0
Индийцы хиндиязычные 	1.0	1.0
Испанцы	2.0	2.0
Итальянцы	3.0	3.0
Кабардинцы 	259.0	258.0
Казахи 	541.0	540.0
Калмыки 	91.0	90.0
Караимы 	2.0	2.0
Каракалпаки 	4.0	4.0
Карачаевцы 	73.0	72.0
Карелы 	2203.0	2202.0
Кеты 	4.0	4.0
Киргизы 	102.0	101.0
Китайцы 	6.0	6.0
Коми 	2177.0	2175.0
Коми-ижемцы 	1128.0	1127.0
Коми-пермяки	133.0	133.0
Корейцы 	238.0	238.0
Коряки 	2.0	2.0
Крымчаки 	1.0	1.0
Кубинцы	3.0	3.0
Кумандинцы 	5.0	5.0
Кумыки 	179.0	179.0
Курды 	5.0	5.0
Лакцы 	66.0	66.0
Латыши 	329.0	329.0
Латгальцы 	1.0	1.0
Лезгины 	840.0	827.0
Литовцы 	607.0	606.0
Манси 	6.0	6.0
Марийцы 	1037.0	1036.0
Горные марийцы 	5.0	5.0
Лугово-восточные марийцы 	22.0	22.0
Молдаване 	1974.0	1971.0
Монголы 	2.0	2.0
Мордва 	2479.0	2476.0
Мордва-мокша 	21.0	21.0
Мордва-эрзя	39.0	39.0
Нагайбаки 	2.0	2.0
Нанайцы 	1.0	1.0
Немцы 	1211.0	1209.0
Ненцы 	163.0	163.0
Ногайцы	119.0	119.0
Осетины 	541.0	540.0
Персы 	3.0	3.0
Поляки 	1142.0	1141.0
Пуштуны	3.0	3.0
Румыны 	44.0	44.0
Русские 	760862.0	759687.0
Казаки 	50.0	50.0
Поморы 	127.0	127.0
Рутульцы 	14.0	14.0
Саамы 	1769.0	1766.0
Сербы	4.0	4.0
Словаки	3.0	3.0
Табасараны 	303.0	298.0
Таджики 	257.0	248.0
Талыши 	44.0	42.0
Татары 	7944.0	7933.0
Кряшены 	8.0	8.0
Татары крымские 	6.0	6.0
Таты 	1.0	1.0
Тувинцы 	165.0	163.0
Турки 	24.0	24.0
Турки-месхетинцы	1.0	1.0
Туркмены 	84.0	84.0
Удмурты 	933.0	931.0
Узбеки 	463.0	451.0
Уйгуры	19.0	19.0
Украинцы 	56845.0	56750.0
Ульчи 	1.0	1.0
Финны 	426.0	424.0
Финны-ингерманландцы 	3.0	3.0
Французы	6.0	6.0
Хакасы 	14.0	14.0
Ханты 	11.0	11.0
Хемшилы 	5.0	4.0
Цахуры 	25.0	25.0
Цыгане 	148.0	147.0
Цыгане среднеазиатские 	17.0	4.0
Черкесы 	56.0	56.0
Чехи 	22.0	22.0
Чеченцы 	210.0	208.0
Чуванцы 	1.0	1.0
Чуваши 	2759.0	2757.0
Чукчи 	4.0	4.0
Шорцы 	11.0	11.0
Эвенки 	13.0	13.0
Эвены 	3.0	3.0
Эстонцы 	177.0	177.0
Юкагиры 	1.0	1.0
Якуты 	21.0	21.0
Японцы 	1.0	1.0
Лица других национальностей (не перечисленных выше)	152.0	148.0
Лица, не указавшие национальность в переписном листе 	10679.0	6119.0
Новгородская область	694355.0	688461.0
Абазины 	3.0	3.0
Абхазы 	26.0	26.0
Аварцы 	176.0	175.0
Андийцы 	3.0	3.0
Арчинцы 	1.0	1.0
Агулы 	16.0	16.0
Адыгейцы 	8.0	8.0
Азербайджанцы 	1574.0	1499.0
Алтайцы 	2.0	2.0
Американцы	5.0	5.0
Англичане	1.0	1.0
Арабы 	66.0	66.0
Армяне 	1940.0	1925.0
Ассирийцы 	18.0	18.0
Балкарцы 	12.0	12.0
Башкиры 	253.0	252.0
Белорусы 	5294.0	5287.0
Болгары	100.0	100.0
Буряты 	21.0	21.0
Венгры 	17.0	17.0
Вепсы 	15.0	15.0
Вьетнамцы 	62.0	48.0
Гагаузы	76.0	76.0
Греки 	106.0	106.0
Грузины 	435.0	429.0
Даргинцы 	193.0	187.0
Долганы 	1.0	1.0
Дунгане 	4.0	-
Евреи 	490.0	483.0
Евреи горские 	6.0	6.0
