3. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ, РАЗМЕРУ И ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
с 1 ребенком	46.0	102.0	39.0	5.0	1.0	1.0	-	2.21739130435
с 2 детьми	20.0	65.0		16.0	3.0	1.0	-	3.25
с 3 и более детьми	4.0	18.0			2.0	2.0	-	4.5
в них детей		13.0			6.0	7.0	-	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	203.0	682.0		142.0	52.0	8.0	1.0	3.35960591133
из них домохозяйства, имеющие детей моложе 18 лет	180.0	611.0		121.0	50.0	8.0	1.0	3.39444444444
в том числе домохозяйства:								
с 1 ребенком	131.0	404.0		121.0	9.0	1.0	-	3.08396946565
с 2 детьми	42.0	169.0			41.0	1.0	-	4.02380952381
с 3 и более детьми	7.0	38.0				6.0	1.0	5.42857142857
в них детей		22.0				18.0	4.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	485.0	2062.0		163.0	170.0	81.0	71.0	4.25154639175
из них домохозяйства, имеющие детей моложе 18 лет	406.0	1794.0		106.0	154.0	78.0	68.0	4.41871921182
в том числе домохозяйства:								
с 1 ребенком	195.0	715.0		100.0	72.0	15.0	8.0	3.66666666667
с 2 детьми	139.0	638.0		6.0	74.0	40.0	19.0	4.58992805755
с 3 и более детьми	72.0	441.0			8.0	23.0	41.0	6.125
в них детей		244.0			24.0	69.0	151.0	
Прочие домохозяйства	616.0	1504.0	449.0	122.0	29.0	6.0	10.0	2.44155844156
из них домохозяйства, имеющие детей моложе 18 лет	118.0	303.0	76.0	32.0	8.0	-	2.0	2.56779661017
в том числе домохозяйства:								
с 1 ребенком	83.0	196.0	62.0	17.0	3.0	-	1.0	2.36144578313
с 2 детьми	28.0	73.0	14.0	11.0	3.0	-	-	2.60714285714
с 3 и более детьми	7.0	34.0		4.0	2.0	-	1.0	4.85714285714
в них детей		24.0		12.0	7.0	-	5.0	
Вологодская область								
Все домохозяйства	372439.0	1122070.0	145077.0	119198.0	78790.0	21085.0	8289.0	3.0127618214
из них домохозяйства, имеющие детей моложе 18 лет	189320.0	680733.0	19821.0	76138.0	65978.0	19389.0	7994.0	3.59567399113
в том числе домохозяйства:								
с 1 ребенком	125267.0	403114.0	19517.0	70144.0	26307.0	7673.0	1626.0	3.21803827025
с 2 детьми	54409.0	224605.0	304.0	5778.0	38768.0	6590.0	2969.0	4.12808542704
с 3 и более детьми	9644.0	53014.0		216.0	903.0	5126.0	3399.0	5.4970966404
в них детей		31829.0		648.0	2856.0	15566.0	12759.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	264481.0	827379.0	83298.0	91647.0	68775.0	16019.0	4742.0	3.12831167456
из них домохозяйства, имеющие детей моложе 18 лет	135875.0	512439.0		57467.0	58795.0	14992.0	4621.0	3.77140018399
в том числе домохозяйства:								
с 1 ребенком	85722.0	291235.0		57467.0	23089.0	4617.0	549.0	3.39743589744
с 2 детьми	42997.0	181020.0			35706.0	5851.0	1440.0	4.21006116706
с 3 и более детьми	7156.0	40184.0				4524.0	2632.0	5.61542761319
в них детей		23456.0				13572.0	9884.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	6576.0	35481.0			1068.0	2928.0	2580.0	5.39552919708
из них домохозяйства, имеющие детей моложе 18 лет	5022.0	28688.0				2521.0	2501.0	5.71246515333
в том числе домохозяйства:								
с 1 ребенком	3458.0	18351.0				2521.0	937.0	5.30682475419
с 2 детьми	1296.0	8184.0					1296.0	6.31481481481
с 3 и более детьми	268.0	2153.0					268.0	8.03358208955
в них детей		890.0					890.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	87.0	666.0					87.0	7.65517241379
из них домохозяйства, имеющие детей моложе 18 лет	70.0	559.0					70.0	7.98571428571
в том числе домохозяйства:								
с 1 ребенком	30.0	216.0					30.0	7.2
с 2 детьми	30.0	248.0					30.0	8.26666666667
с 3 и более детьми	10.0	95.0					10.0	9.5
в них детей		32.0					32.0	
Домохозяйства, состоящие из матери с детьми	53795.0	123213.0	40554.0	11418.0	1445.0	254.0	124.0	2.29041732503
из них домохозяйства, имеющие детей моложе 18 лет	26550.0	65243.0	16526.0	8430.0	1247.0	226.0	121.0	2.45736346516
в том числе домохозяйства:								
с 1 ребенком	20216.0	44503.0	16526.0	3355.0	296.0	33.0	6.0	2.2013751484
с 2 детьми	5521.0	17090.0		5075.0	383.0	51.0	12.0	3.09545372215
с 3 и более детьми	813.0	3650.0			568.0	142.0	103.0	4.48954489545
в них детей		2661.0			1704.0	500.0	457.0	
Домохозяйства, состоящие из отца с детьми	5254.0	11712.0	4232.0	877.0	116.0	23.0	6.0	2.2291587362
из них домохозяйства, имеющие детей моложе 18 лет	1957.0	4720.0	1299.0	542.0	90.0	22.0	4.0	2.41185487992
в том числе домохозяйства:								
с 1 ребенком	1562.0	3421.0	1299.0	233.0	26.0	4.0	-	2.19014084507
с 2 детьми	340.0	1054.0		309.0	28.0	3.0	-	3.1
с 3 и более детьми	55.0	245.0			36.0	15.0	4.0	4.45454545455
в них детей		176.0			108.0	51.0	17.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	7871.0	25456.0		6254.0	1433.0	147.0	37.0	3.23415067971
из них домохозяйства, имеющие детей моложе 18 лет	6316.0	20594.0		4890.0	1247.0	143.0	36.0	3.26060797973
в том числе домохозяйства:								
с 1 ребенком	5276.0	16246.0		4890.0	358.0	25.0	3.0	3.07922668688
с 2 детьми	926.0	3745.0			889.0	33.0	4.0	4.04427645788
с 3 и более детьми	114.0	603.0				85.0	29.0	5.28947368421
в них детей		361.0				255.0	106.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	12219.0	46171.0		5652.0	4557.0	1406.0	604.0	3.77862345527
из них домохозяйства, имеющие детей моложе 18 лет	9429.0	36944.0		3592.0	3931.0	1318.0	588.0	3.91812493372
в том числе домохозяйства:								
с 1 ребенком	6360.0	22594.0		3508.0	2320.0	437.0	95.0	3.55251572327
с 2 детьми	2470.0	10809.0		84.0	1592.0	615.0	179.0	4.37611336032
с 3 и более детьми	599.0	3541.0			19.0	266.0	314.0	5.91151919866
в них детей		2002.0			57.0	802.0	1143.0	
Прочие домохозяйства	22156.0	51992.0	16993.0	3350.0	1396.0	308.0	109.0	2.34663296624
из них домохозяйства, имеющие детей моложе 18 лет	4101.0	11546.0	1996.0	1217.0	668.0	167.0	53.0	2.8154108754
в том числе домохозяйства:								
с 1 ребенком	2643.0	6548.0	1692.0	691.0	218.0	36.0	6.0	2.47748770337
с 2 детьми	829.0	2455.0	304.0	310.0	170.0	37.0	8.0	2.96139927624
с 3 и более детьми	629.0	2543.0		216.0	280.0	94.0	39.0	4.04292527822
в них детей		2251.0		648.0	987.0	386.0	230.0	
Калининградская область								
Все домохозяйства	268298.0	855783.0	92016.0	86245.0	57784.0	20046.0	12207.0	3.18967342284
из них домохозяйства, имеющие детей моложе 18 лет	139072.0	525445.0	13881.0	50636.0	45648.0	17811.0	11096.0	3.77822279107
в том числе домохозяйства:								
с 1 ребенком	97122.0	330030.0	13691.0	47162.0	24271.0	8851.0	3147.0	3.39809723852
с 2 детьми	35308.0	154875.0	190.0	3349.0	20862.0	6471.0	4436.0	4.38639968279
с 3 и более детьми	6642.0	40540.0		125.0	515.0	2489.0	3513.0	6.10358325805
в них детей		22352.0		375.0	1608.0	7549.0	12820.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	180187.0	590006.0	47229.0	64442.0	48919.0	14103.0	5494.0	3.27440936361
из них домохозяйства, имеющие детей моложе 18 лет	94337.0	366846.0		36692.0	39607.0	12815.0	5223.0	3.88867570518
в том числе домохозяйства:								
с 1 ребенком	63751.0	225732.0		36692.0	20947.0	5077.0	1035.0	3.54083857508
с 2 детьми	26214.0	114843.0			18660.0	5655.0	1899.0	4.38097962921
с 3 и более детьми	4372.0	26271.0				2083.0	2289.0	6.00892040256
в них детей		14538.0				6249.0	8289.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	9562.0	54066.0			1195.0	3779.0	4588.0	5.65425643171
из них домохозяйства, имеющие детей моложе 18 лет	7555.0	44970.0				3153.0	4402.0	5.95234943746
в том числе домохозяйства:								
с 1 ребенком	4830.0	26196.0				3153.0	1677.0	5.42360248447
с 2 детьми	2123.0	13788.0					2123.0	6.49458313707
с 3 и более детьми	602.0	4986.0					602.0	8.28239202658
в них детей		2053.0					2053.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	312.0	2660.0					312.0	8.52564102564
из них домохозяйства, имеющие детей моложе 18 лет	276.0	2430.0					276.0	8.80434782609
в том числе домохозяйства:								
с 1 ребенком	95.0	705.0					95.0	7.42105263158
с 2 детьми	94.0	815.0					94.0	8.67021276596
с 3 и более детьми	87.0	910.0					87.0	10.4597701149
в них детей		319.0					319.0	
Домохозяйства, состоящие из матери с детьми	35963.0	81672.0	27642.0	7199.0	896.0	171.0	55.0	2.27100075077
из них домохозяйства, имеющие детей моложе 18 лет	17196.0	41842.0	11031.0	5163.0	794.0	155.0	53.0	2.43324028844
в том числе домохозяйства:								
с 1 ребенком	13572.0	29938.0	11031.0	2308.0	215.0	16.0	2.0	2.20586501621
с 2 детьми	3145.0	9801.0		2855.0	233.0	44.0	13.0	3.11637519873
с 3 и более детьми	479.0	2103.0			346.0	95.0	38.0	4.39039665971
