7. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ЧИСЛУ ЗАНЯТЫХ В ЭКОНОМИКЕ И ЧИСЛУ ИЖДИВЕНЦЕВ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 							
							
	Число частных домохозяйств	Из них домохозяйства, в которых имеются иждивенцы	в том числе домохозяйства с количеством иждивенцев				Домохозяйства, в которых нет иждивенцев
из них имеют занятых							
1 человека	8091.0	1661.0	1661.0				6430.0
2 человек	3262.0						3262.0
3 человек	24103.0	8562.0	7083.0	1380.0	99.0	297.0	15541.0
из них имеют занятых							
1 человека	9176.0	3834.0	3214.0	620.0			5342.0
2 человек	6277.0	1426.0	1426.0				4851.0
3 человек	880.0						880.0
4 человек	25380.0	11729.0	8169.0	2901.0	659.0	2027.0	13651.0
из них имеют занятых							
1 человека	9242.0	5239.0	3740.0	1165.0	334.0	1002.0	4003.0
2 человек	7313.0	2391.0	1799.0	592.0			4922.0
3 человек	1491.0	450.0	450.0				1041.0
4 человек	247.0						247.0
5 и более человек	31996.0	18050.0	9858.0	4870.0	3322.0	11571.0	13946.0
в них членов домохозяйств	191790.0	110476.0	58074.0	29859.0	22543.0		81314.0
из них имеют занятых							
1 человека	10230.0	6339.0	3622.0	1610.0	1107.0	3803.0	3891.0
2 человек	7143.0	3511.0	2030.0	1001.0	480.0	1591.0	3632.0
3 человек	2645.0	1391.0	924.0	363.0	104.0	353.0	1254.0
4 человек	907.0	426.0	311.0	93.0	22.0	75.0	481.0
5 и более человек	235.0	88.0	59.0	21.0	8.0	31.0	147.0
в них занятых	1226.0	455.0	303.0	109.0	43.0		771.0
Домохозяйства, в которых есть занятые	67139.0	26756.0	19236.0	5465.0	2055.0	6855.0	40383.0
в них членов домохозяйств	271501.0	123405.0	82134.0	28054.0	13217.0		148096.0
Домохозяйства, в которых нет занятых	40050.0	15648.0	9764.0	3859.0	2025.0	7040.0	24402.0
в них членов домохозяйств	145538.0	67799.0	37645.0	17895.0	12259.0		77739.0
Республика Северная Осетия – Алания							
Все домохозяйства	166654.0	78422.0	48038.0	19976.0	10408.0	35967.0	88232.0
в них членов домохозяйств	657269.0	344424.0	191516.0	92483.0	60425.0		312845.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	38935.0	8639.0	7985.0	654.0			30296.0
из них имеют занятых							
1 человека	15072.0	3917.0	3917.0				11155.0
2 человек	5250.0						5250.0
3 человек	37699.0	17190.0	12891.0	3910.0	389.0	1167.0	20509.0
из них имеют занятых							
1 человека	16403.0	8569.0	6175.0	2394.0			7834.0
2 человек	9544.0	3129.0	3129.0				6415.0
3 человек	1590.0						1590.0
4 человек	39020.0	22046.0	12710.0	6713.0	2623.0	8106.0	16974.0
из них имеют занятых							
1 человека	15763.0	10797.0	6495.0	2665.0	1637.0	4911.0	4966.0
2 человек	11993.0	5371.0	3158.0	2213.0			6622.0
3 человек	2680.0	958.0	958.0				1722.0
4 человек	456.0						456.0
5 и более человек	51000.0	30547.0	14452.0	8699.0	7396.0	26694.0	20453.0
в них членов домохозяйств	310222.0	187392.0	86033.0	52593.0	48766.0		122830.0
из них имеют занятых							
1 человека	17276.0	11360.0	5549.0	2906.0	2905.0	10339.0	5916.0
2 человек	13808.0	7743.0	3778.0	2373.0	1592.0	5410.0	6065.0
3 человек	5772.0	3284.0	1861.0	997.0	426.0	1476.0	2488.0
4 человек	1898.0	943.0	617.0	218.0	108.0	396.0	955.0
5 и более человек	530.0	210.0	128.0	48.0	34.0	120.0	320.0
в них занятых	2826.0	1099.0	666.0	251.0	182.0		1727.0
Домохозяйства, в которых есть занятые	118035.0	56281.0	35765.0	13814.0	6702.0	22652.0	61754.0
в них членов домохозяйств	484390.0	255274.0	148900.0	66391.0	39983.0		229116.0
Домохозяйства, в которых нет занятых	48619.0	22141.0	12273.0	6162.0	3706.0	13315.0	26478.0
в них членов домохозяйств	172879.0	89150.0	42616.0	26092.0	20442.0		83729.0
Чеченская Республика							
Все домохозяйства	188054.0	91547.0	40518.0	22398.0	28631.0	119600.0	96507.0
в них членов домохозяйств	1062350.0	568761.0	218509.0	133665.0	216587.0		493589.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	15372.0	3655.0	3167.0	488.0			11717.0
из них имеют занятых							
1 человека	2937.0	677.0	677.0				2260.0
2 человек	647.0						647.0
3 человек	18309.0	6913.0	4792.0	1857.0	264.0	792.0	11396.0
из них имеют занятых							
1 человека	4426.0	1633.0	1312.0	321.0			2793.0
2 человек	1204.0	231.0	231.0				973.0
3 человек	121.0						121.0
4 человек	33186.0	14043.0	7532.0	4384.0	2127.0	6861.0	19143.0
из них имеют занятых							
1 человека	8847.0	3803.0	2488.0	899.0	416.0	1248.0	5044.0
2 человек	3402.0	763.0	503.0	260.0			2639.0
3 человек	362.0	84.0	84.0				278.0
4 человек	58.0						58.0
5 и более человек	121187.0	66936.0	25027.0	15669.0	26240.0	111947.0	54251.0
в них членов домохозяйств	843935.0	484540.0	167671.0	109582.0	207287.0		359395.0
из них имеют занятых							
1 человека	29669.0	16265.0	7362.0	3562.0	5341.0	21698.0	13404.0
2 человек	11900.0	5646.0	2386.0	1477.0	1783.0	7099.0	6254.0
3 человек	3210.0	1642.0	773.0	412.0	457.0	1863.0	1568.0
4 человек	1082.0	514.0	242.0	129.0	143.0	602.0	568.0
5 и более человек	562.0	211.0	102.0	57.0	52.0	227.0	351.0
в них занятых	3182.0	1156.0	562.0	305.0	289.0		2026.0
Домохозяйства, в которых есть занятые	68427.0	31469.0	16160.0	7117.0	8192.0	32737.0	36958.0
в них членов домохозяйств	402103.0	204499.0	91770.0	46500.0	66229.0		197604.0
Домохозяйства, в которых нет занятых	119627.0	60078.0	24358.0	15281.0	20439.0	86863.0	59549.0
в них членов домохозяйств	660247.0	364262.0	126739.0	87165.0	150358.0		295985.0
Краснодарский край							
Все домохозяйства	1413090.0	562502.0	373493.0	138198.0	50811.0	170492.0	850588.0
в них членов домохозяйств	4710080.0	2194895.0	1332885.0	587580.0	274430.0		2515185.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	464685.0	69788.0	65981.0	3807.0			394897.0
из них имеют занятых							
1 человека	160472.0	41925.0	41925.0				118547.0
2 человек	83912.0						83912.0
3 человек	393525.0	168881.0	135498.0	31419.0	1964.0	5892.0	224644.0
из них имеют занятых							
1 человека	149505.0	78386.0	53993.0	24393.0			71119.0
2 человек	155741.0	61406.0	61406.0				94335.0
3 человек	28148.0						28148.0
4 человек	329326.0	180274.0	104478.0	59372.0	16424.0	50335.0	149052.0
из них имеют занятых							
1 человека	104263.0	69675.0	37545.0	19596.0	12534.0	37602.0	34588.0
2 человек	141726.0	72148.0	39331.0	32817.0			69578.0
3 человек	42746.0	18791.0	18791.0				23955.0
4 человек	8572.0						8572.0
5 и более человек	225554.0	143559.0	67536.0	43600.0	32423.0	114265.0	81995.0
в них членов домохозяйств	1282831.0	827580.0	376517.0	248221.0	202842.0		455251.0
из них имеют занятых							
1 человека	54235.0	39475.0	16628.0	10628.0	12219.0	43120.0	14760.0
2 человек	78001.0	47961.0	21481.0	16747.0	9733.0	32589.0	30040.0
3 человек	45352.0	28487.0	16064.0	9176.0	3247.0	11121.0	16865.0
4 человек	20472.0	10619.0	7078.0	2428.0	1113.0	3955.0	9853.0
5 и более человек	6121.0	2609.0	1453.0	645.0	511.0	1886.0	3512.0
в них занятых	34073.0	14024.0	7767.0	3481.0	2776.0		20049.0
Домохозяйства, в которых есть занятые	1079266.0	471482.0	315695.0	116430.0	39357.0	130273.0	607784.0
в них членов домохозяйств	3837303.0	1889402.0	1161982.0	508592.0	218828.0		1947901.0
Домохозяйства, в которых нет занятых	333824.0	91020.0	57798.0	21768.0	11454.0	40219.0	242804.0
в них членов домохозяйств	872777.0	305493.0	170903.0	78988.0	55602.0		567284.0
Ставропольский край							
Все домохозяйства	722687.0	299108.0	197871.0	71898.0	29339.0	108519.0	423579.0
в них членов домохозяйств	2490743.0	1207124.0	719250.0	311452.0	176422.0		1283619.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	228669.0	37322.0	34800.0	2522.0			191347.0
из них имеют занятых							
1 человека	79010.0	21247.0	21247.0				57763.0
2 человек	39509.0						39509.0
3 человек	193329.0	85036.0	68427.0	15439.0	1170.0	3510.0	108293.0
из них имеют занятых							
1 человека	74152.0	39033.0	27464.0	11569.0			35119.0
2 человек	74983.0	29806.0	29806.0				45177.0
3 человек	12349.0						12349.0
4 человек	171280.0	94344.0	55571.0	30049.0	8724.0	26951.0	76936.0
из них имеют занятых							
1 человека	55563.0	37176.0	21023.0	9804.0	6349.0	19047.0	18387.0
2 человек	74097.0	36814.0	20363.0	16451.0			37283.0
3 человек	19311.0	8577.0	8577.0				10734.0
4 человек	3761.0						3761.0
5 и более человек	129409.0	82406.0	39073.0	23888.0	19445.0	78058.0	47003.0
в них членов домохозяйств	768298.0	499996.0	222085.0	139895.0	138016.0		268302.0
из них имеют занятых							
1 человека	33782.0	24375.0	11260.0	6205.0	6910.0	25873.0	9407.0
2 человек	42736.0	25513.0	11690.0	8635.0	5188.0	17870.0	17223.0
3 человек	22301.0	14016.0	7971.0	4342.0	1703.0	6262.0	8285.0
4 человек	9877.0	5045.0	3250.0	1170.0	625.0	2500.0	4832.0
5 и более человек	3620.0	1580.0	828.0	400.0	352.0	1666.0	2040.0
в них занятых	22212.0	9497.0	4726.0	2347.0	2424.0		12715.0
Домохозяйства, в которых есть занятые	545051.0	243182.0	163479.0	58576.0	21127.0	73218.0	301869.0
в них членов домохозяйств	1988277.0	999287.0	612341.0	261093.0	125853.0		988990.0
Домохозяйства, в которых нет занятых	177636.0	55926.0	34392.0	13322.0	8212.0	35301.0	121710.0
в них членов домохозяйств	502466.0	207837.0	106909.0	50359.0	50569.0		294629.0
Астраханская область							
Все домохозяйства	278472.0	134839.0	83953.0	36212.0	14674.0	49984.0	143633.0
в них членов домохозяйств	922964.0	513255.0	286395.0	148877.0	77983.0		409709.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	89722.0	17720.0	16755.0	965.0			72002.0
из них имеют занятых							
1 человека	33900.0	11100.0	11100.0				22800.0
2 человек	19005.0						19005.0
3 человек	81269.0	43477.0	33977.0	9006.0	494.0	1482.0	37792.0
из них имеют занятых							
1 человека	29413.0	18253.0	11059.0	7194.0			11160.0
2 человек	34226.0	18759.0	18759.0				15467.0
3 человек	6244.0						6244.0
4 человек	66845.0	43893.0	21517.0	17135.0	5241.0	15966.0	22952.0
из них имеют занятых							
1 человека	20297.0	15622.0	6816.0	4522.0	4284.0	12852.0	4675.0
2 человек	29789.0	18973.0	7910.0	11063.0			10816.0
3 человек	8610.0	4903.0	4903.0				3707.0
4 человек	1558.0						1558.0
5 и более человек	40636.0	29749.0	11704.0	9106.0	8939.0	32536.0	10887.0
в них членов домохозяйств	232333.0	171812.0	64886.0	51389.0	55537.0		60521.0
из них имеют занятых							
1 человека	10553.0	8438.0	3011.0	2072.0	3355.0	12380.0	2115.0
2 человек	13433.0	9548.0	3341.0	3370.0	2837.0	9568.0	3885.0
3 человек	7552.0	5599.0	2678.0	2081.0	840.0	2951.0	1953.0
4 человек	3221.0	2078.0	1343.0	490.0	245.0	879.0	1143.0
5 и более человек	892.0	468.0	229.0	129.0	110.0	468.0	424.0
в них занятых	4800.0	2524.0	1220.0	696.0	608.0		2276.0
Домохозяйства, в которых есть занятые	218693.0	113741.0	71149.0	30921.0	11671.0	39098.0	104952.0
в них членов домохозяйств	758643.0	440972.0	248743.0	129755.0	62474.0		317671.0
Домохозяйства, в которых нет занятых	59779.0	21098.0	12804.0	5291.0	3003.0	10886.0	38681.0
в них членов домохозяйств	164321.0	72283.0	37652.0	19122.0	15509.0		92038.0
Волгоградская область							
Все домохозяйства	777398.0	319573.0	218856.0	77374.0	23343.0	78511.0	457825.0
в них членов домохозяйств	2452241.0	1173409.0	736890.0	314508.0	122011.0		1278832.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	281200.0	46635.0	44145.0	2490.0			234565.0
из них имеют занятых							
1 человека	100130.0	28371.0	28371.0				71759.0
2 человек	53991.0						53991.0
3 человек	235098.0	110710.0	89962.0	19777.0	971.0	2913.0	124388.0
из них имеют занятых							
1 человека	84932.0	47203.0	31416.0	15787.0			37729.0
2 человек	98747.0	46356.0	46356.0				52391.0
3 человек	16849.0						16849.0
4 человек	173232.0	102329.0	57383.0	36167.0	8779.0	26741.0	70903.0
из них имеют занятых							
1 человека	50549.0	34860.0	17604.0	10148.0	7108.0	21324.0	15689.0
