1. ПРОДОЛЖИТЕЛЬНОСТЬ ПРОЖИВАНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В МЕСТЕ								
ПОСТОЯННОГО ЖИТЕЛЬСТВА ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	в том числе население в возрасте			Возраст не указан	Из общей численности – население в возрасте, в процентах		
Женщины, проживающие непрерывно в месте постоянного жительства	596632.0	85106.0	340862.0	170290.0	374.0	14.2644041888	57.1310288419	28.541881763
с рождения	215411.0	62556.0	128688.0	24112.0	55.0	29.0402997061	59.7406817665	11.1934859408
не с рождения	360607.0	19153.0	200038.0	141359.0	57.0	5.31132229824	55.4725781807	39.2002928396
в том числе:								
с 1992-2002 года	86365.0	14581.0	52125.0	19651.0	8.0	16.8829965843	60.3543101951	22.753430209
с 1989-1991 года	23126.0	2437.0	16508.0	4171.0	10.0	10.5379226844	71.3828591196	18.0359768226
с 1988 года и ранее	247820.0	1495.0	129637.0	116655.0	33.0	0.603260430958	52.3109514971	47.0724719555
год не указан	3296.0	640.0	1768.0	882.0	6.0	19.4174757282	53.640776699	26.7597087379
не указавшие непрерывность проживания в месте постоянного жительства	20614.0	3397.0	12136.0	4819.0	262.0	16.4790918793	58.872610847	23.3773163869
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	549207.0	87586.0	325492.0	135789.0	340.0	15.9477209868	59.2658141648	24.7245574073
с рождения	197230.0	62890.0	107271.0	27038.0	31.0	31.886629823	54.3887846676	13.7088678193
не с рождения	344372.0	23021.0	213777.0	107464.0	110.0	6.6849221191	62.0773465903	31.2057890885
в том числе:								
с 1992-2002 года	105187.0	17516.0	67279.0	20332.0	60.0	16.6522479014	63.9613260194	19.3293848099
с 1989-1991 года	24747.0	2829.0	17634.0	4282.0	2.0	11.4316886895	71.2571220754	17.3031074474
с 1988 года и ранее	210734.0	1633.0	127072.0	81981.0	48.0	0.774910550742	60.2997143318	38.9025975875
год не указан	3704.0	1043.0	1792.0	869.0	-	28.1587473002	48.3801295896	23.4611231102
не указавшие непрерывность проживания в месте постоянного жительства	7605.0	1675.0	4444.0	1287.0	199.0	22.0249835634	58.4352399737	16.9230769231
Мужчины, проживающие непрерывно в месте постоянного жительства	252078.0	44908.0	165712.0	41311.0	147.0	17.8151207166	65.7383825641	16.3881814359
с рождения	97874.0	32214.0	57151.0	8498.0	11.0	32.9137462452	58.3924229111	8.68259190388
не с рождения	150546.0	11849.0	106255.0	32382.0	60.0	7.87068404342	70.5797563535	21.509704675
в том числе:								
с 1992-2002 года	50245.0	8873.0	35117.0	6215.0	40.0	17.6594686038	69.8915314957	12.3693899891
с 1989-1991 года	11645.0	1515.0	8688.0	1441.0	1.0	13.009875483	74.6071275225	12.3744096179
с 1988 года и ранее	87014.0	955.0	61551.0	24489.0	19.0	1.09752453628	70.7368929138	28.1437469832
год не указан	1642.0	506.0	899.0	237.0	-	30.8160779537	54.7503045067	14.4336175396
не указавшие непрерывность проживания в месте постоянного жительства	3658.0	845.0	2306.0	431.0	76.0	23.1000546747	63.0399125205	11.7823947512
Женщины, проживающие непрерывно в месте постоянного жительства	297129.0	42678.0	159780.0	94478.0	193.0	14.3634582959	53.7746231435	31.7969636084
с рождения	99356.0	30676.0	50120.0	18540.0	20.0	30.8748339305	50.4448649302	18.6601715045
не с рождения	193826.0	11172.0	107522.0	75082.0	50.0	5.76393259934	55.4734658921	38.7368051758
в том числе:								
с 1992-2002 года	54942.0	8643.0	32162.0	14117.0	20.0	15.7311346511	58.5380947181	25.6943686069
с 1989-1991 года	13102.0	1314.0	8946.0	2841.0	1.0	10.0290032056	68.2796519615	21.6837124103
с 1988 года и ранее	123720.0	678.0	65521.0	57492.0	29.0	0.548011639185	52.9591011962	46.4694471387
год не указан	2062.0	537.0	893.0	632.0	-	26.0426770126	43.3074684772	30.6498545102
не указавшие непрерывность проживания в месте постоянного жительства	3947.0	830.0	2138.0	856.0	123.0	21.0286293387	54.1677223207	21.6873574867
Мурманская область								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	856448.0	159205.0	575567.0	119932.0	1744.0	18.5889861381	67.2039633463	14.0034187715
с рождения	369761.0	127608.0	229763.0	12265.0	125.0	34.510940851	62.1382460562	3.31700747239
не с рождения	473909.0	29878.0	337805.0	106112.0	114.0	6.30458590151	71.280562302	22.3907965453
в том числе:								
с 1992-2002 года	109153.0	22671.0	81085.0	5383.0	14.0	20.7699284491	74.285635759	4.93160975878
с 1989-1991 года	30019.0	4225.0	24631.0	1161.0	2.0	14.0744195343	82.0513674673	3.86755055132
с 1988 года и ранее	331322.0	2255.0	229971.0	99024.0	72.0	0.680606781318	69.4101206681	29.887541425
год не указан	3415.0	727.0	2118.0	544.0	26.0	21.2884333821	62.0204978038	15.9297218155
не указавшие непрерывность проживания в месте постоянного жительства	12778.0	1719.0	7999.0	1555.0	1505.0	13.4528095164	62.5997808734	12.1693535765
Мужчины, проживающие непрерывно в месте постоянного жительства	400773.0	81544.0	287258.0	31026.0	945.0	20.3466800408	71.6759861568	7.74153947496
с рождения	182178.0	65484.0	113785.0	2843.0	66.0	35.9450647169	62.4581453304	1.5605616485
не с рождения	211924.0	15201.0	168918.0	27746.0	59.0	7.17285441951	79.7068760499	13.0924293615
в том числе:								
с 1992-2002 года	54548.0	11707.0	41789.0	1044.0	8.0	21.4618317812	76.6095915524	1.91391068417
с 1989-1991 года	14462.0	2067.0	12101.0	293.0	1.0	14.2926289587	83.6744571982	2.02599917024
с 1988 года и ранее	141321.0	1111.0	113902.0	26274.0	34.0	0.786153508679	80.5980710581	18.59171673
год не указан	1593.0	316.0	1126.0	135.0	16.0	19.8367859385	70.6842435656	8.47457627119
не указавшие непрерывность проживания в месте постоянного жительства	6671.0	859.0	4555.0	437.0	820.0	12.8766301904	68.2806175986	6.55074201769
Женщины, проживающие непрерывно в месте постоянного жительства	455675.0	77661.0	288309.0	88906.0	799.0	17.0430679761	63.2707521808	19.5108355736
с рождения	187583.0	62124.0	115978.0	9422.0	59.0	33.1181397035	61.8275643315	5.0228432214
не с рождения	261985.0	14677.0	168887.0	78366.0	55.0	5.60222913526	64.4643777315	29.9123995649
в том числе:								
с 1992-2002 года	54605.0	10964.0	39296.0	4339.0	6.0	20.0787473675	71.9641058511	7.94615877667
с 1989-1991 года	15557.0	2158.0	12530.0	868.0	1.0	13.8715690686	80.5425210516	5.57948190525
с 1988 года и ранее	190001.0	1144.0	116069.0	72750.0	38.0	0.6021020942	61.0886258493	38.2892721617
год не указан	1822.0	411.0	992.0	409.0	10.0	22.5576289791	54.4456641054	22.4478594951
не указавшие непрерывность проживания в месте постоянного жительства	6107.0	860.0	3444.0	1118.0	685.0	14.0822007532	56.3943016211	18.3068609792
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	796490.0	146060.0	534650.0	114211.0	1569.0	18.3379577898	67.1257642908	14.3392886289
с рождения	352910.0	119310.0	221911.0	11572.0	117.0	33.807486328	62.8803377632	3.27902298036
не с рождения	431512.0	25113.0	305195.0	101096.0	108.0	5.81976862752	70.7268859267	23.4283171731
в том числе:								
с 1992-2002 года	90545.0	18750.0	66979.0	4806.0	10.0	20.7079352808	73.9731625159	5.30785797117
с 1989-1991 года	26335.0	3740.0	21529.0	1064.0	2.0	14.2016328081	81.7505221189	4.04025061705
с 1988 года и ранее	311385.0	1985.0	214640.0	94690.0	70.0	0.637474509048	68.9307448978	30.4093003838
год не указан	3247.0	638.0	2047.0	536.0	26.0	19.6489066831	63.0428087465	16.5075454265
не указавшие непрерывность проживания в месте постоянного жительства	12068.0	1637.0	7544.0	1543.0	1344.0	13.5647994697	62.5124295658	12.7858800133
Мужчины, проживающие непрерывно в месте постоянного жительства	370747.0	74788.0	265594.0	29532.0	833.0	20.1722468422	71.6375317939	7.96553984253
с рождения	173502.0	61200.0	109591.0	2649.0	62.0	35.2733686067	63.164113382	1.52678355293
не с рождения	191064.0	12768.0	151788.0	26451.0	57.0	6.68257756563	79.4435372441	13.8440522547
в том числе:								
с 1992-2002 года	44478.0	9683.0	33875.0	913.0	7.0	21.7703134134	76.1612482576	2.05270021134
с 1989-1991 года	12666.0	1837.0	10569.0	259.0	1.0	14.5033949155	83.4438654666	2.0448444655
с 1988 года и ранее	132438.0	983.0	106275.0	25147.0	33.0	0.742234101995	80.2450958184	18.9877527598
год не указан	1482.0	265.0	1069.0	132.0	16.0	17.8812415655	72.1322537112	8.90688259109
не указавшие непрерывность проживания в месте постоянного жительства	6181.0	820.0	4215.0	432.0	714.0	13.2664617376	68.1928490536	6.98916033004
Женщины, проживающие непрерывно в месте постоянного жительства	425743.0	71272.0	269056.0	84679.0	736.0	16.7406158175	63.1968112218	19.889698715
с рождения	179408.0	58110.0	112320.0	8923.0	55.0	32.3898599839	62.6059038616	4.97357977348
не с рождения	240448.0	12345.0	153407.0	74645.0	51.0	5.13416622305	63.800489087	31.0441342827
в том числе:								
с 1992-2002 года	46067.0	9067.0	33104.0	3893.0	3.0	19.6822020101	71.8605509367	8.45073479931
с 1989-1991 года	13669.0	1903.0	10960.0	805.0	1.0	13.9220133148	80.1814324384	5.88923842271
с 1988 года и ранее	178947.0	1002.0	108365.0	69543.0	37.0	0.559942329293	60.557036441	38.8623447166
год не указан	1765.0	373.0	978.0	404.0	10.0	21.1331444759	55.4107648725	22.8895184136
не указавшие непрерывность проживания в месте постоянного жительства	5887.0	817.0	3329.0	1111.0	630.0	13.8780363513	56.5483268218	18.8720910481
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	59958.0	13145.0	40917.0	5721.0	175.0	21.9236799093	68.242769939	9.54167917542
с рождения	16851.0	8298.0	7852.0	693.0	8.0	49.2433683461	46.5966411489	4.11251557771
не с рождения	42397.0	4765.0	32610.0	5016.0	6.0	11.2390027596	76.9158195155	11.8310257801
в том числе:								
с 1992-2002 года	18608.0	3921.0	14106.0	577.0	4.0	21.0715821152	75.8061049011	3.10081685297
с 1989-1991 года	3684.0	485.0	3102.0	97.0	-	13.1650380022	84.2019543974	2.63300760043
с 1988 года и ранее	19937.0	270.0	15331.0	4334.0	2.0	1.3542659377	76.8972262627	21.7384762
год не указан	168.0	89.0	71.0	8.0	-	52.9761904762	42.2619047619	4.7619047619
не указавшие непрерывность проживания в месте постоянного жительства	710.0	82.0	455.0	12.0	161.0	11.5492957746	64.0845070423	1.69014084507
Мужчины, проживающие непрерывно в месте постоянного жительства	30026.0	6756.0	21664.0	1494.0	112.0	22.500499567	72.1508026377	4.97568773729
с рождения	8676.0	4284.0	4194.0	194.0	4.0	49.377593361	48.3402489627	2.23605348087
не с рождения	20860.0	2433.0	17130.0	1295.0	2.0	11.6634707574	82.1188878236	6.20805369128
в том числе:								
с 1992-2002 года	10070.0	2024.0	7914.0	131.0	1.0	20.0993048659	78.5898709037	1.30089374379
с 1989-1991 года	1796.0	230.0	1532.0	34.0	-	12.8062360802	85.3006681514	1.89309576837
с 1988 года и ранее	8883.0	128.0	7627.0	1127.0	1.0	1.44095463244	85.8606326691	12.6871552403
год не указан	111.0	51.0	57.0	3.0	-	45.9459459459	51.3513513514	2.7027027027
не указавшие непрерывность проживания в месте постоянного жительства	490.0	39.0	340.0	5.0	106.0	7.95918367347	69.387755102	1.02040816327
Женщины, проживающие непрерывно в месте постоянного жительства	29932.0	6389.0	19253.0	4227.0	63.0	21.3450487772	64.3224642523	14.1220098891
с рождения	8175.0	4014.0	3658.0	499.0	4.0	49.1009174312	44.74617737	6.10397553517
не с рождения	21537.0	2332.0	15480.0	3721.0	4.0	10.827877606	71.8763058922	17.277243813
в том числе:								
с 1992-2002 года	8538.0	1897.0	6192.0	446.0	3.0	22.2183181073	72.5228390724	5.2237057859
